GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0023479	3098.55704032873	-1.43344793547148	0.115450180954974	-12.4161601446994	2.1356838988533e-35	1.02643341160999e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.4309170761896	0.196412549680497	-12.3765873420204	3.49907346484593e-35	1.59318339707274e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.9365045275981	0.15711239226371	12.3256001623839	6.59506321977575e-35	2.852694595714e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11684352842828	0.091208486662741	-12.2449518602145	1.78783133827202e-34	7.36501376542442e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82613315140218	0.153884797181244	11.8668847400915	1.7589621080781e-32	6.91671872590164e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61734618604499	0.137034410352893	-11.8024821786001	3.78965370298735e-32	1.42540409498015e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623017297366	0.0969027092840216	-11.6222774501865	3.1755642533133e-31	1.14465859814222e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113655453974	0.170096247063532	-11.5295698076586	9.36102996190967e-31	3.23929080801922e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60560460469667	0.226819622920077	-11.4875625448632	1.52350033403646e-30	5.06915438067286e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.55128405046541	0.224463183985447	-11.3661581608449	6.16414359616199e-30	1.97503726853324e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18389374390619	0.105149796827707	11.2591158482793	2.08843460325868e-29	6.45251705456815e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80911695721505	0.160806335675124	-11.2502840738191	2.30847366375204e-29	6.88641574659273e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88852456873656	0.168968370824638	11.1767933816237	5.29694756595428e-29	1.52746311310235e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0051363	7311.06808545643	0.927156624254277	0.083691100749499	11.0783179567611	1.59847277221069e-28	4.46077030722408e-26	chr3R	11590385	11619906	-	protein_coding	Jupiter
FBgn0034010	525.879538634805	-1.33216262578889	0.122718232682548	-10.8554580413081	1.87862555569608e-27	5.07874677572713e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08366060779576	0.0999864941718634	-10.8380698490447	2.27214190105802e-27	5.95645442001603e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11827059736427	0.10519084133414	-10.6308741633891	2.14096196937757e-26	5.44748882267217e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09110023660023	0.196838886377251	10.6234102167828	2.31930157529265e-26	5.73265083653048e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.24691013733648	0.213566482400019	10.520893129325	6.92143441785574e-26	1.66325914302417e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03747160377076	0.0990577462197005	10.4734020645871	1.14454162698013e-25	2.67606205810948e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.34216708733463	0.128414941381588	10.4517984659305	1.43772611578394e-25	3.27309700727549e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65963297477601	0.159894461242829	-10.3795526241247	3.07211411942622e-25	6.81457929414262e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037468	2974.70678827496	0.909529932151992	0.0879085327528143	10.3463213828111	4.34875174394243e-25	9.4052628342115e-23	chr3R	7074858	7077981	+	protein_coding	CG1943
FBgn0261596	16579.9400664631	-1.04359181626419	0.101500042882898	-10.2816884271487	8.5221391261965e-25	1.79817135562746e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36812627421106	0.133482935686866	10.2494469961352	1.19022534807608e-24	2.45158083004909e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12228559247294	0.211628008331956	10.0283776670239	1.14380450589664e-23	2.3011750652353e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.83162439607141	0.182685835406716	-10.0260887331174	1.170622440326e-23	2.30160334801368e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.2422503255878	0.124355835061235	-9.98948159510235	1.69465673935492e-23	3.2578834338132e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14429138724376	0.119492368874773	-9.57627167340671	1.00611417878406e-21	1.89215081753498e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0050147	970.712398694494	-0.938934018963745	0.0982053470145367	-9.5609256268374	1.16708157912706e-21	2.14817505128259e-19	chr2R	20606880	20618217	-	protein_coding	Hil
FBgn0038149	1018.14231283321	1.00594332464907	0.105242768975684	9.55831297902749	1.19691785285133e-21	2.15719507187852e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.87424079584695	0.199346046243823	9.40194616929868	5.35630167124392e-21	9.45660525672065e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29014735263116	0.137625839492996	-9.37431050291115	6.96293667128921e-21	1.20472730286646e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.81572338655448	0.194385146331266	9.34085459112276	9.55596627065894e-21	1.62095420014648e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.25241339333027	0.134178700866843	-9.33392099669483	1.02025102250491e-20	1.69734453763268e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54827053416178	0.166417354374922	-9.30354012643228	1.35845624747741e-20	2.21735943338246e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0003137	4514.48884653499	0.864667460566544	0.0934278368526147	9.25492326158192	2.14384350473989e-20	3.43451669620459e-18	chr3R	28520664	28540324	-	protein_coding	Ppn
FBgn0261584	177.84495299026	-1.70334123397447	0.185446714560511	-9.18507096775052	4.11256045839847e-20	6.46868373192822e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20992591299501	0.13193398070355	9.17069208814114	4.69991768161987e-20	7.26053354708812e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.3085397093546	0.142853579345819	-9.16000645798936	5.189421169143e-20	7.87608465513265e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78552526200758	0.195038900311478	-9.15471354256041	5.45022156584886e-20	8.1292873734756e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0039464	829.742718107917	0.993489153235223	0.108957619422247	9.11812462958759	7.64354866041032e-20	1.12075151629169e-17	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0040271	1095.87445796674	0.908949022225395	0.100211460366288	9.07031011126921	1.18678756215166e-19	1.71114986669567e-17	chr3R	16310541	16339575	-	protein_coding	Sulf1
FBgn0051523	4689.99565752754	-0.754890110259811	0.0848761033476573	-8.89402411851706	5.89348966004038e-19	8.35812771295235e-17	chr3R	4465420	4479207	-	protein_coding	CG31523
FBgn0033367	15104.0088463228	1.25379694401129	0.141213855511993	8.87871051651021	6.76398858159862e-19	9.4379460031306e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66083889783073	0.188200243822478	-8.82484987318792	1.09606744870262e-18	1.50509198392481e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64818798407227	0.188242582535737	-8.75565964868428	2.02913181671925e-18	2.74281552288097e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.01807431058203	0.117380278174051	-8.67329952202396	4.19775872760085e-18	5.58689396191922e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20371907958714	0.139218419927376	-8.64626304633443	5.3213370053826e-18	6.97498279296437e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0261800	37071.3338157107	-0.727402450790681	0.0841875627136095	-8.64026023968849	5.60851212438356e-18	7.24167737134958e-16	chr2L	7811437	7820771	+	protein_coding	LanB1
FBgn0265276	151.2594530435	1.53518830952334	0.177874851009191	8.6307215483993	6.09661394206145e-18	7.75614811952553e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0001258	1507.25670392075	0.857376837988579	0.0998003604165209	8.59091925530411	8.62762503195227e-18	1.08170411813651e-15	chr3L	6259104	6262694	-	protein_coding	Ldh
FBgn0030237	1966.72530106885	-0.89573398432876	0.104485433130765	-8.5728120895832	1.00988212765417e-17	1.24807004090517e-15	chrX	10842204	10842995	+	protein_coding	CG15209
FBgn0262057	726.434535497277	-0.933872306220775	0.109660825433882	-8.51600653675399	1.65149515283238e-17	2.01226543199337e-15	chr3L	20317189	20320116	+	protein_coding	Spn77Ba
FBgn0031449	951.991001671026	-0.84217775017507	0.0999488751517594	-8.42608532508577	3.57421593104013e-17	4.29451972492058e-15	chr2L	2725673	2739830	+	protein_coding	CG31689
FBgn0063498	325.89377303059	-1.22028683983697	0.145021473832754	-8.41452515676587	3.94489612190126e-17	4.6749721028175e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.07963950081759	0.129077208489214	-8.3642922980304	6.04768219945124e-17	7.07006739289901e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.51539741339932	0.181500693216192	-8.34926515456484	6.86889773237558e-17	7.92304457103748e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.0774590753881	0.129092456121902	8.34641394049128	7.0366873355801e-17	8.00978712369782e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.1054256983278	0.13280641449518	8.32358664699828	8.53408406199254e-17	9.58809885977889e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55653951095101	0.188558004687234	8.25496384273309	1.51948233611442e-16	1.68526175509305e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80878654062579	0.219761580450668	-8.23067679489965	1.86158629311008e-16	2.03855481287282e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0037239	762.656540125849	-0.862530076639932	0.104979815195499	-8.21615160051176	2.10137781842622e-16	2.27237743840065e-14	chr3R	4378599	4381210	+	protein_coding	Sfxn1-3
FBgn0039479	172.821357539012	1.29482305466306	0.158363452154417	8.17627449419644	2.92754649581491e-16	3.12669194262899e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0051038	694.926931057245	-0.915175635082193	0.11231631573631	-8.14819849709809	3.69385676531533e-16	3.89701888740768e-14	chr3R	29877058	29903231	+	protein_coding	CG31038
FBgn0263232	301.536196788606	1.16270197858533	0.143178489626629	8.12064704424069	4.63704772036821e-16	4.83314455769944e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43566774181318	0.177593100558503	8.08402881248329	6.2661518067797e-16	6.4533903905299e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0031805	3023.09177383706	-0.869194684956069	0.107632871893212	-8.07555043052682	6.71729379664277e-16	6.83662454526548e-14	chr2L	6367881	6370190	+	protein_coding	Nepl4
FBgn0024491	870.622745651466	0.974297565345412	0.121429777318203	8.02354732803548	1.02734378570112e-15	1.03343617326749e-13	chr3R	16186155	16189564	-	protein_coding	Bin1
FBgn0034885	161.413779412121	1.3389394128822	0.169481084674519	7.90022919344405	2.78391052095338e-15	2.76823102491583e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0052521	2940.91502601438	-0.809009255851886	0.102635937402855	-7.88231954930618	3.2135891394689e-15	3.15917723244834e-13	chrX	21205309	21281171	-	protein_coding	CG32521
FBgn0034389	114.90357820749	-1.53727223154193	0.196525064253517	-7.82227059627802	5.18789397283623e-15	5.04274952348385e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963558503249	0.138180260268771	7.74087111250166	9.87379531764424e-15	9.49091147699337e-13	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0027580	1308.41741012392	-0.872646332177739	0.114407900142731	-7.62750064540173	2.39348609986525e-14	2.2753899175752e-12	chr2R	9850702	9861543	-	protein_coding	PCB
FBgn0051195	919.475457472842	0.767532657424198	0.101170063393604	7.58655902426487	3.28512738537222e-14	3.08909097944077e-12	chr3R	20757268	20762369	-	protein_coding	CG31195
FBgn0032598	320.345350065653	0.997841833819392	0.131962539646831	7.56155372948945	3.9828283268536e-14	3.70488686619467e-12	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0051337	946.506556433139	-0.937343354736644	0.124677851526302	-7.51812245127518	5.55684465701991e-14	5.11407054551907e-12	chr3R	13543965	13545400	-	protein_coding	CG31337
FBgn0050069	1308.74586897614	-0.836193191738315	0.113323976768805	-7.37878439832949	1.59741264840718e-13	1.45465440224953e-11	chr2R	14185203	14198368	+	protein_coding	CG30069
FBgn0013763	28071.918814862	-0.665289145964923	0.0903084474515783	-7.36685398474643	1.74701649383387e-13	1.574316634183e-11	chr2R	16691021	16693751	+	protein_coding	Idgf6
FBgn0034638	1759.16815971935	-0.861724384923841	0.117173996888404	-7.35422882044847	1.92032531970513e-13	1.71265302482156e-11	chr2R	21605675	21608125	-	protein_coding	CG10433
FBgn0261560	1799.02232933725	-0.844437390393413	0.115565379463009	-7.3070100606013	2.7315211356967e-13	2.41126421886859e-11	chr2L	3478433	3479612	+	protein_coding	Thor
FBgn0023549	188.177773216398	-1.27281783823161	0.175005065316387	-7.27303427435383	3.51501090260207e-13	3.07155144630409e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0040398	4097.27860492211	-0.78454966725546	0.108563281827405	-7.22665761433727	4.95026035618783e-13	4.28247023413809e-11	chrX	1051524	1052631	+	protein_coding	CG14629
FBgn0036373	3781.40411583282	-0.957591714037499	0.132621354708392	-7.22049413643114	5.17990035610397e-13	4.43676415650054e-11	chr3L	13486796	13502492	+	protein_coding	Tgi
FBgn0036299	643.197204702289	0.825373329587491	0.114353630780197	7.2177273599119	5.28635660518307e-13	4.48355597955282e-11	chr3L	12530435	12533724	-	protein_coding	Tsf2
FBgn0004369	784.03180300416	-0.801610405139278	0.111339991387518	-7.19966289874477	6.0361603658535e-13	5.06978867232996e-11	chr3R	29377645	29487131	+	protein_coding	Ptp99A
FBgn0036684	975.889794975767	-0.797578674979888	0.111045989938511	-7.18241762193782	6.84893303142634e-13	5.69712688989127e-11	chr3L	16994716	17012565	-	protein_coding	CG3764
FBgn0040388	1476.68610889789	-0.930558136651364	0.129889078196984	-7.16425237262924	7.8212203707472e-13	6.44394070736515e-11	chrX	2444166	2470043	-	protein_coding	boi
FBgn0022160	1304.2754155394	-0.877857693652543	0.122732872713236	-7.15258817174149	8.51567974346858e-13	6.94991938308931e-11	chr2R	15857751	15862755	-	protein_coding	Gpo1
FBgn0051431	2335.62727795675	-0.697364944064702	0.0975309045139969	-7.15019457206635	8.66549844735276e-13	7.00609598766811e-11	chr3R	21870680	21873640	+	protein_coding	CG31431
FBgn0261284	51.4229233597556	1.55016451806204	0.217832232143456	7.11632297391674	1.10844383682872e-12	8.87884040037522e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0035968	288.554844580581	0.988539299115246	0.139174806513173	7.10286095509449	1.22200336865249e-12	9.69867077267222e-11	chr3L	9203064	9208853	-	protein_coding	Slc45-1
FBgn0052625	150.210306514425	1.28952134376129	0.181678116369552	7.09783527884154	1.26726094540264e-12	9.96643130788927e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.19951651967146	0.169264901307242	7.08662286396961	1.37424213571142e-12	1.07104222667022e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0037683	1454.77595585556	-0.818578600355647	0.115563209264214	-7.08338411132316	1.40676041352575e-12	1.08659681584029e-10	chr3R	9363304	9364838	+	protein_coding	CG18473
FBgn0030805	335.781015861799	0.902312539798133	0.127982669776549	7.05027127011432	1.7856932065399e-12	1.36708247166165e-10	chrX	16938243	16940873	-	protein_coding	wus
FBgn0031359	657.531575565407	-0.811298406926033	0.115108697151818	-7.04810693718477	1.81368238510378e-12	1.37633037838007e-10	chr2L	1716243	1724388	-	protein_coding	Rim2
FBgn0050463	43.1612480103141	1.58309828244695	0.22479974594333	7.04226010489368	1.89146310936579e-12	1.42287368340204e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0028514	567.337262289506	-0.917612917953842	0.130393072977378	-7.03728270989546	1.96024880529404e-12	1.46190624263782e-10	chr2L	15923394	15926287	+	protein_coding	CG4793
FBgn0004396	2390.58517297746	0.998842449760967	0.142031433707708	7.03254500561139	2.02799859189185e-12	1.49950562550909e-10	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0053516	706.839090739559	-0.803315230023361	0.114542386610831	-7.01325730842943	2.32832675557601e-12	1.70697921716e-10	chr2L	2058789	2109878	-	protein_coding	dpr3
FBgn0000567	253.932072621603	-1.08652036165116	0.15509653198345	-7.00544588429032	2.46200483595729e-12	1.78981544839214e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40492230970429	0.200910388990713	6.99278079526903	2.69490409767347e-12	1.9428012790811e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384613928634	0.218684451577944	6.96824181276192	3.20926279176589e-12	2.29449028194766e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0005593	33109.9137230787	-0.652795778092918	0.0940420113366795	-6.94153356371597	3.8786604958777e-12	2.75035179916705e-10	chr2L	10201003	10202321	+	protein_coding	RpL7
FBgn0032956	2852.49745246596	0.6102162326952	0.0879960457476723	6.93458697502145	4.07409691188103e-12	2.86544816135632e-10	chr2L	21658734	21663698	+	protein_coding	Cul2
FBgn0003502	1187.71003997491	0.681971320581293	0.0988604788048564	6.89832103612867	5.26207252381643e-12	3.67114430673677e-10	chr2L	8258372	8301079	-	protein_coding	Btk29A
FBgn0031374	2043.03737760421	-0.758969904652944	0.110256226589927	-6.88369199751197	5.83209017858998e-12	4.03627297079855e-10	chr2L	1884621	1944289	+	protein_coding	Wdr62
FBgn0043364	1143.9544715076	-1.00806960831873	0.146669315469037	-6.87307774700525	6.28312990209535e-12	4.31391720500214e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0039714	2283.44380986059	-0.644122542957298	0.0937344100473956	-6.87178318646915	6.34042723145514e-12	4.31897921096996e-10	chr3R	29863700	29868895	-	protein_coding	Zip99C
FBgn0033426	365.363842027755	-0.924015357966304	0.134637362488183	-6.86299360660309	6.74322457719693e-12	4.55747154822896e-10	chr2R	9577426	9581847	+	protein_coding	CG1814
FBgn0028990	1327.84635438278	-0.719326363526616	0.105316121627838	-6.83016381925403	8.48177196653907e-12	5.68804723120384e-10	chr2L	6671064	6673347	-	protein_coding	Spn27A
FBgn0027515	443.036119142957	0.823262549319918	0.121657089066714	6.76707420533841	1.3141268657664e-11	8.67825306545432e-10	chr2L	7821150	7825350	+	protein_coding	CG7115
FBgn0004893	469.445955374178	-0.807778620373716	0.11935647499994	-6.76778214482394	1.30771463712813e-11	8.67825306545432e-10	chr2L	3771699	3784121	+	protein_coding	bowl
FBgn0037646	40.5200264626335	-1.55336139503371	0.229798319964662	-6.75967254796547	1.38303960332882e-11	9.06414818818004e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14240952180328	0.169038044421882	6.75829826185208	1.39621881534285e-11	9.08172103122631e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0086365	3431.42386097618	-0.555093571454199	0.0822128602258653	-6.75190681760952	1.45914584112887e-11	9.42020199373572e-10	chr3R	24273028	24275728	+	protein_coding	Orct2
FBgn0028327	4062.11618448947	0.5983200276863	0.0887307701976443	6.74309516702679	1.55047578268793e-11	9.9356785155802e-10	chrX	9551139	9553750	-	protein_coding	l(1)G0320
FBgn0261238	905.950750098098	0.695633860988908	0.103202155939144	6.74049737293385	1.57845358316962e-11	9.96730069197105e-10	chr3R	7094595	7124185	-	protein_coding	Alh
FBgn0031703	88.7187395957919	-1.38801391835012	0.205893685338571	-6.7414108211608	1.56855999818442e-11	9.96730069197105e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0038476	1330.67950794971	0.653465182714926	0.0971899728355414	6.72358643232339	1.77305226920174e-11	1.1114982015119e-09	chr3R	17080243	17084781	+	protein_coding	kuk
FBgn0015371	368.773642351112	-0.92207329112851	0.137603930979096	-6.70092260132153	2.07107724020274e-11	1.27977780035671e-09	chr2R	15115235	15144783	+	protein_coding	chn
FBgn0086450	5554.41812549471	-0.550930053384254	0.0822120638690816	-6.7013285819169	2.06533038399217e-11	1.27977780035671e-09	chrX	9196807	9201820	-	protein_coding	su(r)
FBgn0003076	1514.58528761402	0.653325641384814	0.0975494027581867	6.69738227925732	2.1218603379675e-11	1.29269111153217e-09	chr3L	16126017	16128531	-	protein_coding	Pgm1
FBgn0259749	1379.07500882567	-0.665590193796799	0.099378199714144	-6.69754730626368	2.11946630051492e-11	1.29269111153217e-09	chr2L	6468537	6473904	-	protein_coding	mmy
FBgn0033065	29.7436358354011	1.55531041334039	0.233145784165089	6.67097807026647	2.5410419424573e-11	1.5372415275663e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0039113	470.40127509901	0.815682511741449	0.122386475662495	6.6648092228005	2.65009371691222e-11	1.5920806072922e-09	chr3R	23760736	23763263	-	protein_coding	udt
FBgn0029801	1239.94294175484	-0.758165456987652	0.114218374875346	-6.63785890680974	3.18272290483356e-11	1.89887833446311e-09	chrX	5755573	5759751	+	protein_coding	CG15771
FBgn0043841	14976.7171075126	-0.652507318629698	0.0984690703396377	-6.6265205549223	3.43691634555114e-11	2.03649063735363e-09	chr2L	12403269	12423439	-	protein_coding	vir-1
FBgn0024984	117.679403305754	1.16848678234906	0.176703520221168	6.61269668474373	3.77381200677322e-11	2.2209012020813e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0037680	433.787671171497	0.793863568200662	0.120105482774253	6.60971963863456	3.85048544441386e-11	2.2356073543372e-09	chr3R	9335169	9337459	+	protein_coding	pasi2
FBgn0028542	1161.57183491519	-0.933754126497813	0.141259952321992	-6.61018293684104	3.83845389062415e-11	2.2356073543372e-09	chr2L	13968279	13969976	-	protein_coding	NimB4
FBgn0040752	5094.89338433851	-0.800539766459742	0.121157987086945	-6.60740398307594	3.91117686985297e-11	2.25570607340654e-09	chr2R	14060455	14140902	-	protein_coding	Prosap
FBgn0266064	3270.44102679478	0.55541734731948	0.0840903507196949	6.60500690704569	3.97498811060084e-11	2.27620139070105e-09	chr3R	15141842	15147531	-	protein_coding	GlyS
FBgn0001124	1253.86350990139	0.604547583195651	0.0915412221260844	6.60410216462893	3.99933662451231e-11	2.27620139070105e-09	chr2R	16138351	16141928	+	protein_coding	Got1
FBgn0038805	745.126082058377	0.698204868055332	0.106163293364358	6.57670693823573	4.80981438148181e-11	2.71958851073197e-09	chr3R	20575244	20577010	-	protein_coding	TFAM
FBgn0004507	1809.71057208628	0.821301929594533	0.125456846594898	6.54648950524423	5.89052866117219e-11	3.30902360050653e-09	chr2L	2130812	2137296	+	protein_coding	GlyP
FBgn0036824	3111.34213085921	-0.608757874414534	0.0930862881594971	-6.53971585343986	6.16358239936294e-11	3.44007427979928e-09	chr3L	18893119	18898293	-	protein_coding	CG3902
FBgn0035150	2608.90160916783	0.543823390711021	0.0833930348568631	6.52120877534253	6.97430275914784e-11	3.86760853649923e-09	chr3L	654362	657971	+	protein_coding	Rev1
